Order_ID,Order_Date,Order_Month,Order_Day,Order_Weekday,Customer_ID,Customer_Name,City,Region,Membership_Type,Product_ID,Product_Name,Category,Brand,Quantity,Unit_Price,Total_Amount,Order_Size,Payment_Method,Order_Status
O0051,2026-01-01,January,1,Thursday,C008,Sara Ahmed,Hyderabad,South,Premium,P017,Yoga Mat,Sports,FitLife,4,899,3596,Large,Net Banking,Delivered
O0091,2026-01-01,January,1,Thursday,C002,Zoya Khan,Delhi,North,Regular,P011,Air Fryer,Home & Kitchen,CookSmart,2,4999,9998,Medium,Credit Card,Delivered
O0022,2026-01-02,January,2,Friday,C023,Nikhil Sood,Chandigarh,North,Premium,P014,Data Science Handbook,Books,DataPress,4,899,3596,Large,Net Banking,Delivered
O0106,2026-01-02,January,2,Friday,C001,Aarav Sharma,Srinagar,North,Premium,P009,Coffee Maker,Home & Kitchen,HomeBrew,1,3499,3499,Small,Net Banking,Delivered
O0076,2026-01-03,January,3,Saturday,C019,Yusuf Dar,Srinagar,North,New,P015,Machine Learning Basics,Books,AIPress,1,999,999,Small,Debit Card,Delivered
O0108,2026-01-04,January,4,Sunday,C006,Ishita Gupta,Bengaluru,South,Premium,P020,Dumbbell Set,Sports,StrongFit,1,1999,1999,Small,Net Banking,Delivered
O0041,2026-01-04,January,4,Sunday,C008,Sara Ahmed,Hyderabad,South,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,5,699,3495,Large,Cash on Delivery,Delivered
O0018,2026-01-05,January,5,Monday,C003,Rohan Mehta,Mumbai,West,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,4,4999,19996,Large,Net Banking,Cancelled
O0104,2026-01-05,January,5,Monday,C011,Vivaan Kapoor,Jaipur,North,New,P006,Hoodie,Clothing,UrbanWear,3,1599,4797,Medium,Debit Card,Shipped
O0110,2026-01-05,January,5,Monday,C007,Aditya Verma,Pune,West,Regular,P005,Power Bank,Electronics,VoltPlus,1,1199,1199,Small,UPI,Delivered
O0028,2026-01-07,January,7,Wednesday,C006,Ishita Gupta,Bengaluru,South,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,3,4999,14997,Medium,UPI,Delivered
O0056,2026-01-08,January,8,Thursday,C015,Karan Joshi,Chandigarh,North,Regular,P018,Football,Sports,SportZone,3,799,2397,Medium,Debit Card,Delivered
